property_id,price,categories,bedrooms,bathrooms,garage,area,location,amenities,furnished
1606888774-383,16800,Apartment for Rent,2,2,2,151,Dzorwulu,Listed,Furnished
1606888783-385,15525,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606888789-386,15525,Apartment for Rent,2,2,0,130,Cantoment accra,Listed,Furnished
1606888795-387,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606888803-389,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606888810-391,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606888820-393,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606888830-395,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606888841-397,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606888857-399,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606888867-401,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606888872-403,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606888877-405,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606888885-407,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606888890-409,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606888900-411,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606888931-420,16800,Apartment for Rent,2,2,2,151,Dzorwulu,Listed,Furnished
1606888936-421,15525,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606888945-423,15525,Apartment for Rent,2,2,0,130,Cantoment accra,Listed,Furnished
1606888953-426,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606888958-428,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606888964-430,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606888968-432,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606888975-434,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
